name,writer,rate,plot,lang,char,setting,litery award,link
The World According to Garp,John Irving,4.09,,English,,,"National Book Award for Fiction (Paperback) (1980),National Book Critics Circle Award Nominee for Fiction (1978),National Book Award Finalist for Fiction (1979)",https://www.goodreads.com/book/show/7069.The_World_According_to_Garp
Where the Red Fern Grows,Wilson Rawls,4.08,"A loving threesome, they ranged the dark hills and river bottoms of Cherokee country. Old Dan had the brawn. Little Ann had the brains, and Billy had the will to make them into the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. ",English,,Ozark Mountains,"Massachusetts Children's Book Award (1987),North Dakota Children's Choice Award (1981)",https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
Dune,Frank Herbert,4.23,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...",English,"Alia Atreides,Lady Jessica,Shaddam IV,Gurney Halleck,...less,Harko,Arrakin,Sietch Tabr",,"Hugo Award for Best Novel (1966),Nebula Award for Best Novel (1965),Seiun Award 星雲賞 for Best Foreign Novel (1974)",https://www.goodreads.com/book/show/44767458-dune
Their Eyes Were Watching God,Zora Neale Hurston,3.94,,English,"Nanny,Leafy,Johnny Taylor,Logan Killicks,Jody Starks,Tea Cake,Pearl Stone,Mrs. Sumpkins,Lulu Moss,Mis' Washburn,Mr. Washburn,Miss Nellie,Mayrella",Florida,Audie Award for Solo Narration - Female (2001),https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God
Flowers for Algernon,Daniel Keyes,4.14,,,,,"Hugo Award Nominee for Best Novel (1967),Nebula Award for Best Novel (tie) (1966),Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)",https://www.goodreads.com/book/show/36576608-flowers-for-algernon
Waiting for Godot,Samuel Beckett,3.83,,,,,,https://www.goodreads.com/book/show/17716.Waiting_for_Godot
The Red Tent,Anita Diamant,4.18,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, ",English,,,"Book Sense Book of the Year Award for Adult Fiction (2001),Boston Author's Club Award (1998)",https://www.goodreads.com/book/show/4989.The_Red_Tent
A Game of Thrones,George R.R. Martin,4.45,"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.",English,"Theon Greyjoy,Robb Stark,Arya Stark,Jaime Lannister,Joffrey Baratheon,Robert Baratheon,Tywin Lannister,Lysa Arryn,Petyr Baelish,Sansa Stark,Viserys Targaryen,Varys,Hodor,Beric Dondarrion,Thoros of Myr,Sandor Clegane,Samwell Tarly,Pyp,Tommen Baratheon,Stannis Baratheon,Grenn,Mace Tyrell,Septa Mordane,Jon Snow,Cersei Lannister,Jorah Mormont",,"Nebula Award Nominee for Best Novel (1997),Locus Award for Best Fantasy Novel (1997),World Fantasy Award Nominee for Best Novel (1997),Premio Ignotus for Novela extranjera (2003)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
To the Lighthouse,Virginia Woolf,3.78,"The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.",English,"Minta Doyle,Charles Tansley,William Bankes,Augustus Carmichael,Andrew Ramsay,Jasper Ramsay,Roger Ramsay,Prue Ramsay,Rose Ramsay,Nancy Ramsay,Cam Ramsay,Mrs. McNab","Isle of Skye, Scotland",Prix Femina Vie Heureuse Anglais (1928),https://www.goodreads.com/book/show/59716.To_the_Lighthouse
Lonesome Dove,Larry McMurtry,4.48,"A love story, an adventure, and an epic of the frontier, Larry McMurtry’s Pulitzer Prize— winning classic, ",English,Lorena Wood,,"Pulitzer Prize for Fiction (1986),PEN/Faulkner Award for Fiction Nominee (1986),National Book Critics Circle Award Nominee for Fiction (1985),Spur Award for Best Western Novel (1985)",https://www.goodreads.com/book/show/256008.Lonesome_Dove
